jockey_name,total_races,wins,win_rate,total_payout,recovery_rate
木本直,130,7,5.38,31420,242.0
平瀬城,2519,288,11.43,256160,102.0
吉田晃,3251,419,12.89,312680,96.0
兼子千,2049,115,5.61,194860,95.0
池田敦,2809,320,11.39,253640,90.0
米倉知,2165,445,20.55,177580,82.0
藤田弘,4310,706,16.38,350950,81.0
鈴木太,3722,260,6.99,301900,81.0
中島龍,5063,897,17.72,404550,80.0
栗原大,5398,634,11.75,421660,78.0
田知弘,2828,386,13.65,213750,76.0
青柳正,5145,802,15.59,392520,76.0
加藤翔,1417,202,14.26,100940,71.0
畑中信,1926,267,13.86,134480,70.0
吉原寛,2658,619,23.29,180430,68.0
葛山晃,3631,312,8.59,246240,68.0
松戸政,4011,321,8.0,267750,67.0
魚住謙,2437,148,6.07,158340,65.0
沖静男,3685,288,7.82,227050,62.0
柴田勇,4054,370,9.13,241390,60.0
堀場裕,3840,370,9.64,210080,55.0
岡部誠（愛知）,55,6,10.91,2970,54.0
西森将,348,17,4.89,17590,51.0
塚本雄,221,17,7.69,10790,49.0
岡村卓,109,6,5.5,5170,47.0
松木大,250,16,6.4,11330,45.0
服部大,2968,83,2.8,131610,44.0
桑野等,1273,82,6.44,46830,37.0
甲賀弘,2116,96,4.54,72970,34.0
塚本弘,809,37,4.57,21380,26.0
