jockey_name,良,稍重,重,不良
吉原寛,23.93,23.88,21.85,22.04
田中学（兵庫）,20.0,0.0,0.0,0.0
中島龍,19.84,14.92,15.94,15.08
米倉知,19.83,18.43,20.87,24.65
青柳正,15.57,15.5,16.4,14.96
藤田弘,14.93,18.92,15.62,18.86
加藤翔,14.47,18.13,12.18,12.5
田知弘,13.77,10.1,14.49,15.51
畑中信,13.54,16.34,12.4,13.66
吉田晃,12.57,12.15,13.9,13.56
栗原大,12.19,12.9,12.13,9.13
池田敦,12.09,10.65,10.42,10.65
渡邊竜（笠松）,11.54,0.0,0.0,0.0
平瀬城,10.3,10.31,12.21,14.91
堀場裕,9.35,10.33,10.93,8.76
葛山晃,9.22,6.97,7.72,8.83
柴田勇,9.07,8.6,10.4,8.75
松戸政,8.36,6.88,9.09,6.81
岡部誠（愛知）,8.33,0.0,0.0,0.0
沖静男,8.15,9.04,6.81,6.51
