feature,importance
popularity,79293.68299341202
horse_avg_finish,6961.213731765747
horse_total_races,3825.329713344574
trainer_total_races,2224.308548927307
jockey_win_rate,2032.6959137916565
jockey_total_races,1836.3328289985657
trainer_win_rate,1607.2363419532776
horse_count,1521.7194609642029
horse_place_rate,1441.4009580612183
jockey_avg_finish,1412.008306980133
trainer_place_rate,1391.2595219612122
jockey_place_rate,1330.8925924301147
horse_win_rate,1305.1818222999573
horse_days_since_last_race,1096.3812494277954
horse_number,734.6007127761841
gate_number,445.3595790863037
distance,277.03018712997437
track_良,202.9524097442627
track_稍重,107.92070150375366
track_重,87.2173900604248
distance_1300-1400m,82.33030128479004
distance_1500-1600m,78.9455418586731
distance_1700-1800m,57.3274507522583
distance_1900-2000m,14.973220348358154
track_不良,10.60099983215332
distance_2100m-,0.0
